Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Wednesday, February 1, 2023",10:00,USD,2,OPEC Meeting,,,
,12:00,USD,1,MBA 30-Year Mortgage Rate,6.19%,,6.20%
,12:00,USD,1,MBA Mortgage Applications (WoW),-9.00%,,7.00%
,12:00,USD,1,MBA Purchase Index,184.3,,205.4
,12:00,USD,1,Mortgage Market Index,232.4,,255.3
,12:00,USD,1,Mortgage Refinance Index,466.6,,502.3
,13:00,USD,1,Total Vehicle Sales,15.70M,,13.30M
,13:15,USD,3,ADP Nonfarm Employment Change (Jan),106K,178K,253K
,14:45,USD,3,S&P Global US Manufacturing PMI (Jan),46.9,46.8,46.8
,15:00,USD,2,Construction Spending (MoM) (Dec),-0.40%,-0.10%,0.50%
,15:00,USD,2,ISM Manufacturing Employment (Jan),50.6,49,50.8
,15:00,USD,1,ISM Manufacturing New Orders Index (Jan),42.5,,45.1
,15:00,USD,3,ISM Manufacturing PMI (Jan),47.4,48,48.4
,15:00,USD,3,ISM Manufacturing Prices (Jan),44.5,39.5,39.4
,15:00,USD,3,JOLTs Job Openings (Dec),11.012M,10.250M,10.440M
,15:30,USD,3,Crude Oil Inventories,4.140M,0.376M,0.533M
,15:30,USD,1,EIA Refinery Crude Runs (WoW),-0.020M,,0.128M
,15:30,USD,1,Crude Oil Imports,2.593M,,-1.791M
,15:30,USD,2,Cushing Crude Oil Inventories,2.315M,,4.267M
,15:30,USD,1,Distillate Fuel Production,0.100M,,-0.009M
,15:30,USD,1,EIA Weekly Distillates Stocks,2.320M,-1.300M,-0.507M
,15:30,USD,1,Gasoline Production,0.612M,,-0.034M
,15:30,USD,1,Heating Oil Stockpiles,-0.328M,,-0.234M
,15:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),-0.40%,0.50%,0.80%
,15:30,USD,1,Gasoline Inventories,2.576M,1.442M,1.763M
,19:00,USD,3,FOMC Statement,,,
,19:00,USD,3,Fed Interest Rate Decision,4.75%,4.75%,4.50%
,19:30,USD,3,FOMC Press Conference,,,
,20:30,USD,2,Fed's Balance Sheet,"8,434B",,"8,471B"
"Thursday, February 2, 2023",12:30,USD,1,All Car Sales (Jan),3.12M,,2.81M
,12:30,USD,1,All Truck Sales (Jan),12.62M,,10.56M
,12:30,USD,1,Challenger Job Cuts (YoY),440.00%,,129.10%
,12:30,USD,1,Challenger Job Cuts (Jan),102.943K,,43.651K
,13:30,USD,2,Continuing Jobless Claims,"1,655K","1,677K","1,666K"
,13:30,USD,3,Initial Jobless Claims,183K,200K,186K
,13:30,USD,1,Jobless Claims 4-Week Avg.,191.75K,,197.50K
,13:30,USD,2,Nonfarm Productivity (QoQ) (Q4),3.00%,2.40%,1.40%
,13:30,USD,2,Unit Labor Costs (QoQ) (Q4),1.10%,1.50%,2.00%
,15:00,USD,1,Durables Excluding Defense (MoM) (Dec),6.20%,,6.30%
,15:00,USD,1,Durables Excluding Transport (MoM) (Dec),-0.20%,,-0.10%
,15:00,USD,2,Factory Orders (MoM) (Dec),1.80%,2.30%,-1.90%
,15:00,USD,1,Factory orders ex transportation (MoM) (Dec),-1.20%,,-1.20%
,15:30,USD,1,Natural Gas Storage,-151B,-142B,-91B
,16:30,USD,1,4-Week Bill Auction,4.49%,,4.50%
,16:30,USD,1,8-Week Bill Auction,4.51%,,4.53%
,21:30,USD,1,Reserve Balances with Federal Reserve Banks,3.030T,,3.000T
"Friday, February 3, 2023",13:30,USD,3,Average Hourly Earnings (MoM) (Jan),0.30%,0.30%,0.40%
