Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Tuesday, January 3, 2023",14:45,USD,3,S&P Global US Manufacturing PMI (Dec),46.2,46.2,47.7
,15:00,USD,2,Construction Spending (MoM) (Nov),0.20%,-0.40%,-0.20%
,16:30,USD,1,3-Month Bill Auction,4.41%,,4.35%
,16:30,USD,1,6-Month Bill Auction,4.64%,,4.60%
"Wednesday, January 4, 2023",12:00,USD,,MBA 30-Year Mortgage Rate,6.58%,,6.34%
,12:00,USD,,MBA Mortgage Applications (WoW),-10.30%,,0.90%
,12:00,USD,,MBA Purchase Index,160.2,,182.5
,12:00,USD,,Mortgage Market Index,184.5,,212.5
,12:00,USD,,Mortgage Refinance Index,310.9,,371.4
,13:55,USD,,Redbook (YoY),10.20%,,9.60%
,15:00,USD,,ISM Manufacturing Employment (Dec),51.4,48.3,48.4
,15:00,USD,,ISM Manufacturing New Orders Index (Dec),45.2,,47.2
,15:00,USD,,ISM Manufacturing PMI (Dec),48.4,48.5,49
,15:00,USD,,ISM Manufacturing Prices (Dec),39.4,42.6,43
,15:00,USD,,JOLTs Job Openings (Nov),10.458M,10.000M,10.512M
,19:00,USD,,FOMC Meeting Minutes,,,
,20:30,USD,,Fed's Balance Sheet,"8,507.43B",,"8,551.17B"
,21:30,USD,,API Weekly Crude Oil Stock,3.298M,,-1.300M
,23:00,USD,,Total Vehicle Sales,13.30M,,14.10M
"Thursday, January 5, 2023",12:30,USD,,Challenger Job Cuts (Dec),43.651K,,76.835K
,12:30,USD,,Challenger Job Cuts (YoY),129.10%,,416.50%
,13:15,USD,,ADP Nonfarm Employment Change (Dec),235K,150K,182K
,13:30,USD,,Continuing Jobless Claims,"1,694K","1,708K","1,718K"
,13:30,USD,,Exports,251.90B,,256.90B
,13:30,USD,,Imports,313.40B,,334.80B
,13:30,USD,,Initial Jobless Claims,204K,225K,223K
,13:30,USD,,Jobless Claims 4-Week Avg.,213.75K,,220.50K
,13:30,USD,,Trade Balance (Nov),-61.50B,-73.00B,-77.80B
,14:20,USD,,FOMC Member Bostic Speaks,,,
,14:30,USD,,All Car Sales (Dec),2.78M,,3.16M
,14:30,USD,,All Truck Sales (Dec),10.53M,,11.06M
,14:45,USD,,S&P Global Composite PMI (Dec),45,44.6,46.4
,14:45,USD,,S&P Global Services PMI (Dec),44.7,44.4,46.2
,15:30,USD,,Natural Gas Storage,-221B,-228B,-213B
,16:00,USD,,Crude Oil Inventories,1.694M,1.154M,0.718M
,16:00,USD,,EIA Refinery Crude Runs (WoW),-2.329M,,0.173M
,16:00,USD,,Crude Oil Imports,-1.282M,,1.328M
,16:00,USD,,Cushing Crude Oil Inventories,0.244M,,-0.195M
,16:00,USD,,Distillate Fuel Production,-1.050M,,-0.017M
,16:00,USD,,EIA Weekly Distillates Stocks,-1.427M,-0.396M,0.282M
,16:00,USD,,Gasoline Production,-1.678M,,0.592M
,16:00,USD,,Heating Oil Stockpiles,-0.476M,,0.011M
,16:00,USD,,EIA Weekly Refinery Utilization Rates (WoW),-12.40%,-2.90%,1.10%
,16:00,USD,,Gasoline Inventories,-0.346M,-0.486M,-3.105M
,16:30,USD,,4-Week Bill Auction,4.10%,,3.83%
,16:30,USD,,8-Week Bill Auction,4.43%,,4.25%
,18:20,USD,,FOMC Member Bullard Speaks,,,
"Friday, January 6, 2023",13:30,USD,3,Average Hourly Earnings (MoM) (Dec),0.30%,0.40%,0.40%
,13:30,USD,2,Average Hourly Earnings (YoY) (YoY) (Dec),4.60%,5.00%,4.80%
,13:30,USD,1,Average Weekly Hours (Dec),34.3,34.4,34.4
,13:30,USD,1,Government Payrolls (Dec),3.0K,,54.0K
,13:30,USD,1,Manufacturing Payrolls (Dec),8K,10K,8K
,13:30,USD,3,Nonfarm Payrolls (Dec),223K,200K,256K
,13:30,USD,2,Participation Rate (Dec),62.30%,,62.20%
,13:30,USD,2,Private Nonfarm Payrolls (Dec),220K,180K,202K
,13:30,USD,2,U6 Unemployment Rate (Dec),6.50%,,6.70%
,13:30,USD,3,Unemployment Rate (Dec),3.50%,3.70%,3.60%
,15:00,USD,1,Durables Excluding Defense (MoM) (Nov),-2.70%,,-2.60%
,15:00,USD,1,Durables Excluding Transport (MoM) (Nov),0.10%,,0.20%
,15:00,USD,2,Factory Orders (MoM) (Nov),-1.80%,-0.80%,0.40%
,15:00,USD,1,Factory orders ex transportation (MoM) (Nov),-0.80%,,0.10%
,15:00,USD,1,ISM Non-Manufacturing Business Activity (Dec),54.7,59.5,64.7
,15:00,USD,2,ISM Non-Manufacturing Employment (Dec),49.8,,51.5
,15:00,USD,1,ISM Non-Manufacturing New Orders (Dec),45.2,,56
,15:00,USD,3,ISM Non-Manufacturing PMI (Dec),49.6,55,56.5
,15:00,USD,3,ISM Non-Manufacturing Prices (Dec),67.6,,70
,16:15,USD,1,Fed Governor Cook Speaks,,,
,16:15,USD,2,FOMC Member Bostic Speaks,,,
,17:15,USD,1,FOMC Member Barkin Speaks,,,
,18:00,USD,2,U.S. Baker Hughes Oil Rig Count,618,,621
,18:00,USD,2,U.S. Baker Hughes Total Rig Count,772,,779
,20:30,USD,1,CFTC Aluminium speculative net positions,5.3K,,5.0K
,20:30,USD,1,CFTC Copper speculative net positions,-4.7K,,0.7K
,20:30,USD,1,CFTC Corn speculative net positions,267.5K,,235.1K
,20:30,USD,2,CFTC Crude Oil speculative net positions,227.6K,,247.6K
,20:30,USD,2,CFTC Gold speculative net positions,141.7K,,136.9K
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,1.4K,,1.2K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-169.8K,,-160.6K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-167.3K,,-174.3K
,20:30,USD,1,CFTC Silver speculative net positions,30.9K,,31.0K
,20:30,USD,1,CFTC Soybeans speculative net positions,148.6K,,133.5K
,20:30,USD,1,CFTC Wheat speculative net positions,-32.3K,,-36.3K
,20:30,USD,2,FOMC Member Bostic Speaks,,,
"Monday, January 9, 2023",15:00,USD,1,CB Employment Trends Index (Dec),116.31,,117.14
,16:00,USD,2,NY Fed 1-Year Consumer Inflation Expectations,5.00%,,5.20%
,16:30,USD,1,3-Month Bill Auction,4.56%,,4.41%
,16:30,USD,1,6-Month Bill Auction,4.71%,,4.64%
,20:00,USD,2,Consumer Credit (Nov),27.96B,25.00B,29.12B
"Tuesday, January 10, 2023",11:00,USD,1,NFIB Small Business Optimism (Dec),89.8,91.5,91.9
,13:55,USD,1,Redbook (YoY),5.30%,,10.20%
,14:00,USD,3,Fed Chair Powell Speaks,,,
,15:00,USD,1,IBD/TIPP Economic Optimism,42.3,41.7,42.9
,15:00,USD,1,Wholesale Inventories (MoM),1.00%,1.00%,1.00%
,15:00,USD,1,Wholesale Trade Sales (MoM) (Nov),-0.60%,0.50%,0.40%
,17:00,USD,2,EIA Short-Term Energy Outlook,,,
,18:00,USD,2,3-Year Note Auction,3.98%,,4.09%
,21:30,USD,2,API Weekly Crude Oil Stock,14.865M,-2.375M,3.298
"Wednesday, January 11, 2023",12:00,USD,1,MBA 30-Year Mortgage Rate,6.42%,,6.58%
,12:00,USD,1,MBA Mortgage Applications (WoW),1.20%,,-10.30%
,12:00,USD,1,MBA Purchase Index,159.4,,160.2
,12:00,USD,1,Mortgage Market Index,186.7,,184.5
,12:00,USD,1,Mortgage Refinance Index,326.7,,310.9
,15:30,USD,3,Crude Oil Inventories,18.962M,-2.243M,1.694M
,15:30,USD,1,EIA Refinery Crude Runs (WoW),0.831M,,-2.329M
,15:30,USD,1,Crude Oil Imports,2.708M,,-1.282M
,15:30,USD,2,Cushing Crude Oil Inventories,2.511M,,0.244M
,15:30,USD,1,Distillate Fuel Production,0.509M,,-1.050M
,15:30,USD,1,EIA Weekly Distillates Stocks,-1.069M,-0.472M,-1.427M
,15:30,USD,1,Gasoline Production,0.067M,,-1.678M
,15:30,USD,1,Heating Oil Stockpiles,0.405M,,-0.476M
,15:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),4.50%,6.10%,-12.40%
,15:30,USD,1,Gasoline Inventories,4.114M,1.186M,-0.346M
,15:30,USD,1,Thomson Reuters IPSOS PCSI (Jan),50.23,,49.76
,18:00,USD,3,10-Year Note Auction,3.58%,,3.63%
,20:30,USD,2,Fed's Balance Sheet,"8,508.59B",,"8,507.43B"
"Thursday, January 12, 2023",12:30,USD,2,FOMC Member Harker Speaks,,,
,13:30,USD,2,Continuing Jobless Claims,"1,634K","1,705K","1,697K"
,13:30,USD,3,Core CPI (MoM) (Dec),0.30%,0.30%,0.30%
,13:30,USD,2,Core CPI (YoY) (Dec),5.70%,5.70%,6.00%
,13:30,USD,1,Core CPI Index (Dec),300.97,,300.07
,13:30,USD,3,CPI (YoY) (Dec),6.50%,6.50%,7.10%
,13:30,USD,3,CPI (MoM) (Dec),-0.10%,0.00%,0.20%
,13:30,USD,1,"CPI Index, n.s.a. (Dec)",296.8,296.7,297.71
,13:30,USD,1,"CPI Index, s.a (Dec)",298.11,,298.35
,13:30,USD,1,"CPI, n.s.a (MoM) (Dec)",-0.31%,,-0.10%
,13:30,USD,3,Initial Jobless Claims,205K,215K,206K
,13:30,USD,1,Jobless Claims 4-Week Avg.,212.50K,,214.25K
,13:30,USD,1,Real Earnings (MoM) (Dec),0.10%,,0.20%
,15:30,USD,1,Natural Gas Storage,11B,-15B,-221B
,16:00,USD,1,Cleveland CPI (MoM) (Dec),0.40%,,0.50%
,16:30,USD,1,4-Week Bill Auction,4.37%,,4.10%
,16:30,USD,1,8-Week Bill Auction,4.47%,,4.43%
,17:00,USD,2,WASDE Report,,,
,18:00,USD,3,30-Year Bond Auction,3.59%,,3.51%
,19:00,USD,2,Federal Budget Balance (Dec),-85.0B,-70.0B,-249.0B
,21:30,USD,1,Reserve Balances with Federal Reserve Banks,3.117T,,3.050T
"Friday, January 13, 2023",12:30,USD,2,FOMC Member Harker Speaks,,,
,12:30,USD,1,Import Price Index ex Petroleum (MoM),0.80%,,-0.30%
,13:30,USD,1,Export Price Index (YoY),5.00%,,6.30%
,13:30,USD,2,Export Price Index (MoM) (Dec),-2.60%,-0.50%,-0.40%
,13:30,USD,1,Import Price Index (YoY),3.50%,,2.70%
,13:30,USD,2,Import Price Index (MoM) (Dec),0.40%,-0.90%,-0.70%
,15:00,USD,2,Michigan 1-Year Inflation Expectations (Jan),4.00%,,4.40%
,15:00,USD,2,Michigan 5-Year Inflation Expectations (Jan),3.00%,,2.90%
,15:00,USD,2,Michigan Consumer Expectations (Jan),62,59.5,59.9
,15:00,USD,2,Michigan Consumer Sentiment (Jan),64.6,60.5,59.7
,15:00,USD,1,Michigan Current Conditions (Jan),68.6,60,59.4
