Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Thursday, February 1, 2024",19:30,USD,3,FOMC Press Conference,,,
,10:00,USD,2,OPEC Meeting,,,
,12:30,USD,1,Challenger Job Cuts (Jan),82.307K,,34.817K
,12:30,USD,1,Challenger Job Cuts (YoY),-20.00%,,-20.20%
,13:30,USD,2,Continuing Jobless Claims,"1,898K","1,840K","1,828K"
,13:30,USD,3,Initial Jobless Claims,224K,213K,215K
,13:30,USD,1,Jobless Claims 4-Week Avg.,207.75K,,202.50K
,13:30,USD,2,Nonfarm Productivity (QoQ) (Q4),3.20%,2.40%,4.90%
,13:30,USD,2,Unit Labor Costs (QoQ) (Q4),0.50%,1.30%,-1.10%
,14:45,USD,3,S&P Global US Manufacturing PMI (Jan),50.7,50.3,47.9
,15:00,USD,2,Construction Spending (MoM) (Dec),0.90%,0.50%,0.90%
,15:00,USD,2,ISM Manufacturing Employment (Jan),47.1,47,47.5
,15:00,USD,1,ISM Manufacturing New Orders Index (Jan),52.5,48.2,47
,15:00,USD,3,ISM Manufacturing PMI (Jan),49.1,47.2,47.1
,15:00,USD,3,ISM Manufacturing Prices (Jan),52.9,46,45.2
,15:30,USD,1,Natural Gas Storage,-197B,-202B,-326B
,16:30,USD,1,4-Week Bill Auction,5.28%,,5.28%
,16:30,USD,1,8-Week Bill Auction,5.27%,,5.28%
,17:45,USD,2,Atlanta Fed GDPNow (Q1),4.20%,3.00%,3.00%
,21:30,USD,2,Fed's Balance Sheet,"7,630B",,"7,677B"
,21:30,USD,1,Reserve Balances with Federal Reserve Banks,3.412T,,3.490T
"Friday, February 2, 2024",13:30,USD,3,Average Hourly Earnings (MoM) (Jan),0.60%,0.30%,0.40%
,13:30,USD,2,Average Hourly Earnings (YoY) (YoY) (Jan),4.50%,4.10%,4.30%
,13:30,USD,1,Average Weekly Hours (Jan),34.1,34.3,34.3
,13:30,USD,1,Government Payrolls (Jan),36.0K,,55.0K
,13:30,USD,1,Manufacturing Payrolls (Jan),23K,5K,8K
,13:30,USD,3,Nonfarm Payrolls (Jan),353K,187K,333K
,13:30,USD,2,Participation Rate (Jan),62.50%,62.60%,62.50%
,13:30,USD,1,Payrolls Benchmark,-266,,568
,13:30,USD,1,"Payrolls Benchmark, n.s.a.",-187.00K,,-306.00K
,13:30,USD,2,Private Nonfarm Payrolls (Jan),317K,155K,278K
,13:30,USD,2,U6 Unemployment Rate (Jan),7.20%,,7.10%
,13:30,USD,3,Unemployment Rate (Jan),3.70%,3.80%,3.70%
,15:00,USD,1,All Car Sales (Jan),3.01M,,3.19M
,15:00,USD,1,All Truck Sales (Jan),11.99M,,12.92M
,15:00,USD,1,Durables Excluding Defense (MoM) (Dec),0.50%,,0.50%
,15:00,USD,1,Durables Excluding Transport (MoM) (Dec),0.50%,,0.60%
,15:00,USD,2,Factory Orders (MoM) (Dec),0.20%,0.30%,2.60%
,15:00,USD,1,Factory orders ex transportation (MoM) (Dec),0.40%,,0.20%
,15:00,USD,2,Michigan 1-Year Inflation Expectations (Jan),2.90%,2.90%,3.10%
,15:00,USD,2,Michigan 5-Year Inflation Expectations (Jan),2.90%,2.80%,2.90%
,15:00,USD,2,Michigan Consumer Expectations (Jan),77.1,75.9,67.4
,15:00,USD,2,Michigan Consumer Sentiment (Jan),79,78.8,69.7
,15:00,USD,1,Michigan Current Conditions (Jan),81.9,83.3,73.3
,18:00,USD,2,U.S. Baker Hughes Oil Rig Count,499,,499
,18:00,USD,2,U.S. Baker Hughes Total Rig Count,619,,621
,20:30,USD,1,CFTC Aluminium speculative net positions,3.9K,,4.3K
,20:30,USD,1,CFTC Copper speculative net positions,-8.6K,,-29.9K
,20:30,USD,1,CFTC Corn speculative net positions,-224.8K,,-219.2K
,20:30,USD,2,CFTC Crude Oil speculative net positions,196.7K,,184.0K
,20:30,USD,2,CFTC Gold speculative net positions,147.8K,,169.5K
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,39.3K,,33.0K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-103.2K,,-80.6K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-226.0K,,-189.5K
