Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Monday, April 1, 2024",13:45,USD,3,S&P Global US Manufacturing PMI (Mar),51.9,52.5,52.2
,14:00,USD,2,Construction Spending (MoM) (Feb),-0.30%,0.70%,-0.20%
,14:00,USD,2,ISM Manufacturing Employment (Mar),47.4,47.5,45.9
,14:00,USD,1,ISM Manufacturing New Orders Index (Mar),51.4,49.8,49.2
,14:00,USD,3,ISM Manufacturing PMI (Mar),50.3,48.5,47.8
,14:00,USD,3,ISM Manufacturing Prices (Mar),55.8,53.3,52.5
,15:30,USD,1,3-Month Bill Auction,5.23%,,5.23%
,15:30,USD,1,6-Month Bill Auction,5.13%,,5.11%
,18:00,USD,2,Atlanta Fed GDPNow (Q1),2.80%,2.30%,2.30%
,22:50,USD,1,Fed Governor Cook Speaks,,,
"Tuesday, April 2, 2024",12:55,USD,1,Redbook (YoY),5.20%,,3.90%
,14:00,USD,1,Durables Excluding Defense (MoM) (Feb),2.10%,,2.20%
,14:00,USD,1,Durables Excluding Transport (MoM) (Feb),0.30%,,-0.40%
,14:00,USD,2,Factory Orders (MoM) (Feb),1.40%,1.10%,-3.80%
,14:00,USD,1,Factory orders ex transportation (MoM) (Feb),1.10%,,-0.60%
,14:00,USD,3,JOLTs Job Openings (Feb),8.756M,8.760M,8.748M
,14:10,USD,2,FOMC Member Bowman Speaks,,,
,16:00,USD,2,FOMC Member Williams Speaks,,,
,16:05,USD,2,FOMC Member Mester Speaks,,,
,17:30,USD,2,FOMC Member Daly Speaks,,,
,20:30,USD,2,API Weekly Crude Oil Stock,-2.286M,-2.000M,9.337M
,22:00,USD,1,Total Vehicle Sales,15.50M,15.90M,15.80M
"Wednesday, April 3, 2024",9:15,USD,2,OPEC Meeting,,,
,11:00,USD,1,MBA 30-Year Mortgage Rate,6.91%,,6.93%
,11:00,USD,1,MBA Mortgage Applications (WoW),-0.60%,,-0.70%
,11:00,USD,1,MBA Purchase Index,145.6,,145.7
,11:00,USD,1,Mortgage Market Index,195.6,,196.8
,11:00,USD,1,Mortgage Refinance Index,453.5,,460.9
,12:15,USD,3,ADP Nonfarm Employment Change (Mar),184K,148K,155K
,12:30,USD,2,FOMC Member Bostic Speaks,,,
,12:40,USD,1,All Car Sales (Mar),3.03M,,3.10M
,12:40,USD,1,All Truck Sales (Mar),12.46M,,12.60M
,13:45,USD,2,FOMC Member Bowman Speaks,,,
,13:45,USD,2,S&P Global Composite PMI (Mar),52.1,52.2,52.5
,13:45,USD,3,S&P Global Services PMI (Mar),51.7,51.7,52.3
,14:00,USD,1,ISM Non-Manufacturing Business Activity (Mar),57.4,56.7,57.2
,14:00,USD,2,ISM Non-Manufacturing Employment (Mar),48.5,49,48
,14:00,USD,1,ISM Non-Manufacturing New Orders (Mar),54.4,55.5,56.1
,14:00,USD,3,ISM Non-Manufacturing PMI (Mar),51.4,52.8,52.6
,14:00,USD,3,ISM Non-Manufacturing Prices (Mar),53.4,58.4,58.6
,14:30,USD,3,Crude Oil Inventories,3.210M,-0.300M,3.165M
