Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Sunday, June 2, 2024",10:00,USD,,OPEC Meeting,,,
"Monday, June 3, 2024",13:45,USD,,S&P Global US Manufacturing PMI (May),51.3,50.9,50
,14:00,USD,,Construction Spending (MoM) (Apr),-0.10%,0.20%,-0.20%
,14:00,USD,,ISM Manufacturing Employment (May),51.1,48.5,48.6
,14:00,USD,,ISM Manufacturing New Orders Index (May),45.4,49.4,49.1
,14:00,USD,,ISM Manufacturing PMI (May),48.7,49.8,49.2
,14:00,USD,,ISM Manufacturing Prices (May),57,60,60.9
,15:30,USD,,3-Month Bill Auction,5.25%,,5.26%
,15:30,USD,,6-Month Bill Auction,5.16%,,5.17%
,16:00,USD,,Atlanta Fed GDPNow (Q2),1.80%,2.70%,2.70%
"Tuesday, June 4, 2024",12:55,USD,,Redbook (YoY),5.80%,,6.30%
,13:00,USD,,All Car Sales (May),3.07M,,3.04M
,13:00,USD,,All Truck Sales (May),12.84M,,12.74M
,14:00,USD,,Durables Excluding Defense (MoM) (Apr),0.00%,,0.00%
,14:00,USD,,Durables Excluding Transport (MoM) (Apr),0.40%,,0.50%
,14:00,USD,,Factory Orders (MoM) (Apr),0.70%,0.70%,0.70%
,14:00,USD,,Factory orders ex transportation (MoM) (Apr),0.70%,0.40%,0.40%
,14:00,USD,,IBD/TIPP Economic Optimism,40.5,45.2,41.8
,14:00,USD,,JOLTs Job Openings (Apr),8.059M,8.370M,8.355M
,20:30,USD,,API Weekly Crude Oil Stock,4.052M,-1.900M,-6.490M
"Wednesday, June 5, 2024",11:00,USD,,MBA 30-Year Mortgage Rate,7.07%,,7.05%
,11:00,USD,,MBA Mortgage Applications (WoW),-5.20%,,-5.70%
,11:00,USD,,MBA Purchase Index,132.3,,138.4
,11:00,USD,,Mortgage Market Index,180.4,,190.3
,11:00,USD,,Mortgage Refinance Index,432.1,,463.8
,12:15,USD,,ADP Nonfarm Employment Change (May),152K,173K,188K
,13:45,USD,,S&P Global Composite PMI (May),54.5,54.4,51.3
,13:45,USD,,S&P Global Services PMI (May),54.8,54.8,51.3
,14:00,USD,,ISM Non-Manufacturing Business Activity (May),61.2,,50.9
,14:00,USD,,ISM Non-Manufacturing Employment (May),47.1,47.2,45.9
,14:00,USD,,ISM Non-Manufacturing New Orders (May),54.1,53.2,52.2
,14:00,USD,,ISM Non-Manufacturing PMI (May),53.8,51,49.4
,14:00,USD,,ISM Non-Manufacturing Prices (May),58.1,59,59.2
,14:30,USD,,Crude Oil Inventories,1.233M,-2.100M,-4.156M
,14:30,USD,,EIA Refinery Crude Runs (WoW),0.061M,,0.601M
,14:30,USD,,Crude Oil Imports,0.013M,,0.611M
,14:30,USD,,Cushing Crude Oil Inventories,0.854M,,-1.766M
,14:30,USD,,Distillate Fuel Production,0.031M,,-0.034M
,14:30,USD,,EIA Weekly Distillates Stocks,3.197M,3.000M,2.544M
,14:30,USD,,Gasoline Production,-0.527M,,-0.038M
,14:30,USD,,Heating Oil Stockpiles,0.362M,,-0.211M
,14:30,USD,,EIA Weekly Refinery Utilization Rates (WoW),1.10%,,2.60%
,14:30,USD,,Gasoline Inventories,2.102M,2.600M,2.022M
,14:30,USD,,Total Vehicle Sales,15.90M,15.80M,15.78M
"Thursday, June 6, 2024",11:30,USD,,Challenger Job Cuts (YoY),-20.30%,,-3.30%
,11:30,USD,,Challenger Job Cuts (May),63.816K,,64.789K
,12:30,USD,,Continuing Jobless Claims,"1,792K","1,790K","1,790K"
,12:30,USD,,Exports (Apr),263.70B,,257.60B
,12:30,USD,,Imports (Apr),338.20B,,327.00B
,12:30,USD,,Initial Jobless Claims,229K,220K,221K
,12:30,USD,,Jobless Claims 4-Week Avg.,222.25K,,223.00K
,12:30,USD,,Nonfarm Productivity (QoQ) (Q1),0.20%,0.30%,3.20%
,12:30,USD,,Trade Balance (Apr),-74.60B,-76.20B,-68.60B
,12:30,USD,,Unit Labor Costs (QoQ) (Q1),4.00%,4.70%,0.40%
,14:20,USD,,Atlanta Fed GDPNow (Q2),2.60%,1.80%,1.80%
