Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
,13:30,USD,2,Trade Balance (Jan),-68.30B,-68.90B,-67.20B
,15:00,USD,3,Fed Chair Powell Testifies,,,
,15:00,USD,3,JOLTs Job Openings (Jan),10.824M,10.500M,11.234M
,15:30,USD,3,Crude Oil Inventories,-1.694M,0.395M,1.165M
,15:30,USD,1,EIA Refinery Crude Runs (WoW),-0.012M,,-0.031M
,15:30,USD,1,Crude Oil Imports,2.330M,,-1.150M
,15:30,USD,2,Cushing Crude Oil Inventories,-0.890M,,0.307M
,15:30,USD,1,Distillate Fuel Production,-0.084M,,-0.091M
,15:30,USD,1,EIA Weekly Distillates Stocks,0.138M,-1.038M,0.179M
,15:30,USD,1,Gasoline Production,-0.173M,,0.302M
,15:30,USD,1,Heating Oil Stockpiles,-0.650M,,0.548M
,15:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),0.20%,-0.30%,-0.10%
,15:30,USD,1,Gasoline Inventories,-1.134M,-1.863M,-0.874M
,16:00,USD,1,Thomson Reuters IPSOS PCSI (Mar),51.35,,51.57
,17:00,USD,2,WASDE Report,,,
,18:00,USD,3,10-Year Note Auction,3.99%,,3.61%
,19:00,USD,2,Beige Book,,,
,20:30,USD,2,Fed's Balance Sheet,"8,342B",,"8,340B"
"Thursday, March 9, 2023",12:30,USD,1,Challenger Job Cuts (YoY),410.10%,,440.00%
,12:30,USD,1,Challenger Job Cuts (Feb),77.770K,,102.943K
,13:30,USD,2,Continuing Jobless Claims,"1,718K","1,659K","1,649K"
,13:30,USD,3,Initial Jobless Claims,211K,195K,190K
,13:30,USD,1,Jobless Claims 4-Week Avg.,197.00K,,193.00K
,15:00,USD,2,Fed Vice Chair for Supervision Barr Speaks,,,
,15:30,USD,1,Natural Gas Storage,-84B,-80B,-81B
,16:30,USD,1,4-Week Bill Auction,4.64%,,4.59%
,16:30,USD,1,8-Week Bill Auction,4.82%,,4.66%
,18:00,USD,3,30-Year Bond Auction,3.88%,,3.69%
,21:30,USD,1,Reserve Balances with Federal Reserve Banks,3.004T,,3.028T
"Friday, March 10, 2023",13:30,USD,3,Average Hourly Earnings (MoM) (Feb),0.20%,0.30%,0.30%
,13:30,USD,2,Average Hourly Earnings (YoY) (YoY) (Feb),4.60%,4.70%,4.40%
,13:30,USD,1,Average Weekly Hours (Feb),34.5,34.6,34.6
,13:30,USD,1,Government Payrolls (Feb),46.0K,,118.0K
,13:30,USD,1,Manufacturing Payrolls (Feb),-4K,12K,13K
,13:30,USD,3,Nonfarm Payrolls (Feb),311K,205K,504K
,13:30,USD,2,Participation Rate (Feb),62.50%,,62.40%
,13:30,USD,2,Private Nonfarm Payrolls (Feb),265K,210K,386K
,13:30,USD,2,U6 Unemployment Rate (Feb),6.80%,,6.60%
,13:30,USD,3,Unemployment Rate (Feb),3.60%,3.40%,3.40%
,18:00,USD,2,U.S. Baker Hughes Oil Rig Count,590,,592
,18:00,USD,2,U.S. Baker Hughes Total Rig Count,746,,749
,19:00,USD,2,Federal Budget Balance (Feb),-262.0B,-256.0B,-39.0B
,20:30,USD,1,CFTC Aluminium speculative net positions,5.9K,,5.5K
,20:30,USD,1,CFTC Copper speculative net positions,2.0K,,2.5K
,20:30,USD,1,CFTC Corn speculative net positions,283.0K,,282.4K
,20:30,USD,2,CFTC Crude Oil speculative net positions,219.7K,,224.2K
,20:30,USD,2,CFTC Gold speculative net positions,107.1K,,128.8K
