Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Friday, March 1, 2024",1:10,USD,2,FOMC Member Williams Speaks,,,
,14:45,USD,3,S&P Global US Manufacturing PMI (Feb),52.2,51.5,50.7
,15:00,USD,2,Construction Spending (MoM) (Jan),-0.20%,0.20%,1.10%
,15:00,USD,2,ISM Manufacturing Employment (Feb),45.9,,47.1
,15:00,USD,1,ISM Manufacturing New Orders Index (Feb),49.2,,52.5
,15:00,USD,3,ISM Manufacturing PMI (Feb),47.8,49.5,49.1
,15:00,USD,3,ISM Manufacturing Prices (Feb),52.5,53.5,52.9
,15:00,USD,2,Michigan 1-Year Inflation Expectations (Feb),3.00%,3.00%,2.90%
,15:00,USD,2,Michigan 5-Year Inflation Expectations (Feb),2.90%,2.90%,2.90%
,15:00,USD,2,Michigan Consumer Expectations (Feb),75.2,78.4,77.1
,15:00,USD,2,Michigan Consumer Sentiment (Feb),76.9,79.6,79
,15:00,USD,1,Michigan Current Conditions (Feb),79.4,81.5,81.9
,15:15,USD,1,Fed Logan Speaks,,,
,15:15,USD,2,Fed Waller Speaks,,,
,17:15,USD,2,FOMC Member Bostic Speaks,,,
,18:00,USD,2,Atlanta Fed GDPNow (Q1),2.10%,3.00%,3.00%
,18:00,USD,2,U.S. Baker Hughes Oil Rig Count,506,,503
,18:00,USD,2,U.S. Baker Hughes Total Rig Count,629,,626
,18:30,USD,2,FOMC Member Daly Speaks,,,
,20:30,USD,1,CFTC Aluminium speculative net positions,3.3K,,4.0K
,20:30,USD,1,CFTC Copper speculative net positions,-1.6K,,-15.9K
,20:30,USD,1,CFTC Corn speculative net positions,-232.6K,,-266.1K
,20:30,USD,2,CFTC Crude Oil speculative net positions,224.8K,,191.9K
,20:30,USD,2,CFTC Gold speculative net positions,141.6K,,140.3K
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,10.2K,,25.6K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-141.6K,,-153.9K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-224.2K,,-218.5K
,20:30,USD,1,CFTC Silver speculative net positions,14.5K,,22.4K
,20:30,USD,1,CFTC Soybeans speculative net positions,-191.2K,,-160.3K
,20:30,USD,1,CFTC Wheat speculative net positions,-37.0K,,-44.6K
"Monday, March 4, 2024",13:00,USD,1,All Car Sales (Feb),3.13M,,2.99M
,13:00,USD,1,All Truck Sales (Feb),12.68M,,11.93M
,16:00,USD,2,FOMC Member Harker Speaks,,,
,16:30,USD,1,3-Month Bill Auction,5.24%,,5.26%
,16:30,USD,1,6-Month Bill Auction,5.11%,,5.13%
"Tuesday, March 5, 2024",11:15,USD,1,Total Vehicle Sales,15.81M,,14.92M
,13:55,USD,1,Redbook (YoY),3.10%,,2.70%
,14:45,USD,2,S&P Global Composite PMI (Feb),52.5,51.4,52
,14:45,USD,3,S&P Global Services PMI (Feb),52.3,51.3,52.5
,15:00,USD,1,Durables Excluding Defense (MoM) (Jan),-7.40%,,-7.30%
,15:00,USD,1,Durables Excluding Transport (MoM) (Jan),-0.40%,,0.50%
,15:00,USD,2,Factory Orders (MoM) (Jan),-3.60%,-3.10%,-0.30%
,15:00,USD,1,Factory orders ex transportation (MoM) (Jan),-0.80%,,-0.30%
,15:00,USD,1,ISM Non-Manufacturing Business Activity (Feb),57.2,,55.8
,15:00,USD,2,ISM Non-Manufacturing Employment (Feb),48,51.4,50.5
,15:00,USD,1,ISM Non-Manufacturing New Orders (Feb),56.1,54.4,55
,15:00,USD,3,ISM Non-Manufacturing PMI (Feb),52.6,53,53.4
,15:00,USD,3,ISM Non-Manufacturing Prices (Feb),58.6,62,64
,17:00,USD,2,Fed Vice Chair for Supervision Barr Speaks,,,
,20:30,USD,2,Fed Vice Chair for Supervision Barr Speaks,,,
,21:30,USD,2,API Weekly Crude Oil Stock,0.423M,2.600M,8.428M
"Wednesday, March 6, 2024",12:00,USD,1,MBA 30-Year Mortgage Rate,7.02%,,7.04%
,12:00,USD,1,MBA Mortgage Applications (WoW),9.70%,,-5.60%
,12:00,USD,1,MBA Purchase Index,141.1,,127.6
,12:00,USD,1,Mortgage Market Index,188.2,,171.5
,12:00,USD,1,Mortgage Refinance Index,428.1,,395.9
,13:15,USD,3,ADP Nonfarm Employment Change (Feb),140K,149K,111K
,15:00,USD,3,Fed Chair Powell Testifies,,,
,15:00,USD,3,JOLTs Job Openings (Jan),8.863M,8.800M,8.889M
,15:00,USD,1,Wholesale Inventories (MoM) (Jan),-0.30%,-0.10%,0.40%
,15:00,USD,1,Wholesale Trade Sales (MoM) (Jan),-1.70%,0.30%,0.30%
,15:30,USD,3,Crude Oil Inventories,1.367M,2.400M,4.199M
,15:30,USD,1,EIA Refinery Crude Runs (WoW),0.594M,,0.100M
,15:30,USD,1,Crude Oil Imports,0.928M,,-0.032M
,15:30,USD,2,Cushing Crude Oil Inventories,0.701M,,1.458M
