event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
Average_Hourly_Earnings_MoM,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average_Hourly_Earnings_YoY_YoY,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average_Weekly_Hours,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beige_Book,18.375,Wednesday,17.625,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Building_Permits,12.125,Wednesday,21.291666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Building_Permits_MoM,12.125,Wednesday,21.291666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Business_Inventories_MoM,14.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Capacity_Utilization_Rate,13.333333333333334,Thursday,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CB_Consumer_Confidence,14.333333333333334,Tuesday,27.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CB_Employment_Trends_Index,14.333333333333334,Monday,8.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CFTC_Aluminium_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Copper_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Corn_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Crude_Oil_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Gold_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Nasdaq_100_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Natural_Gas_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Silver_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Soybeans_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_SP_500_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
CFTC_Wheat_speculative_net_positions,20.0,Friday,16.102040816326532,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
Challenger_Job_Cuts,11.333333333333334,Thursday,6.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Challenger_Job_Cuts_YoY,11.333333333333334,Thursday,6.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Chicago_Fed_National_Activity,12.363636363636363,Wednesday,23.90909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Chicago_PMI,13.333333333333334,Wednesday,29.916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cleveland_CPI_MoM,15.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Construction_Spending_MoM,14.333333333333334,Wednesday,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Consumer_Credit,19.416666666666668,Wednesday,7.166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Continuing_Jobless_Claims,12.346153846153847,Thursday,15.826923076923077,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Core_CPI_Index,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_CPI_MoM,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_CPI_YoY,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_Durable_Goods_Orders_MoM,12.333333333333334,Thursday,25.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Prices,12.333333333333334,Thursday,26.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Price_Index_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PCE_Price_Index_YoY,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PPI_MoM,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_PPI_YoY,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Core_Retail_Sales_MoM,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Corporate_Profits,12.285714285714286,Thursday,27.428571428571427,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
CPI_Index_nsa,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPI_Index_sa,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPI_MoM,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPI_nsa_MoM,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPI_YoY,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Crude_Oil_Imports,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Crude_Oil_Inventories,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Current_Account,12.25,Thursday,21.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Cushing_Crude_Oil_Inventories,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Dallas_Fed_Mfg_Business_Index,14.333333333333334,Monday,27.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dallas_Fed_PCE,17.0,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dallas_Fed_Services_Revenues,14.333333333333334,Tuesday,26.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Distillate_Fuel_Production,14.528301886792454,Wednesday,14.88679245283019,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0
Durables_Excluding_Defense_MoM,13.333333333333334,Wednesday,14.666666666666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Durables_Excluding_Transport_MoM,14.333333333333334,Wednesday,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Durable_Goods_Orders_MoM,12.333333333333334,Thursday,25.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EIA_Refinery_Crude_Runs_WoW,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
EIA_Short-Term_Energy_Outlook,16.416666666666668,Tuesday,9.166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EIA_Weekly_Distillates_Stocks,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
EIA_Weekly_Refinery_Utilization_Rates_WoW,14.509803921568627,Wednesday,15.156862745098039,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
Employment_Benefits,12.25,Wednesday,29.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Employment_Cost_Index,12.25,Wednesday,29.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Employment_Wages,12.25,Wednesday,29.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Existing_Home_Sales,14.333333333333334,Wednesday,20.416666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Existing_Home_Sales_MoM,14.333333333333334,Wednesday,20.416666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exports,12.416666666666666,Wednesday,6.166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Export_Price_Index_MoM,12.333333333333334,Thursday,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Export_Price_Index_YoY,12.333333333333334,Thursday,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Factory_orders_ex_transportation_MoM,14.333333333333334,Wednesday,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Factory_Orders_MoM,14.333333333333334,Wednesday,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Federal_Budget_Balance,18.416666666666668,Wednesday,12.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feds_Balance_Sheet,20.153846153846153,Thursday,15.615384615384615,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Fed_Bank_Stress_Test_Results,20.0,Wednesday,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fed_Barr_Testimony,13.75,Wednesday,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Fed_Chair_Powell_Speaks,15.6,Wednesday,15.6,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0
Fed_Chair_Powell_Testifies,14.5,Wednesday,14.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Fed_Collins_Speaks,13.5,Thursday,19.166666666666668,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
Fed_Gibson_Testifies,14.0,Tuesday,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fed_Goolsbee_Speaks,15.75,Wednesday,15.583333333333334,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0
Fed_Governor_Cook_Speaks,16.88888888888889,Wednesday,13.38888888888889,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0
Fed_Governor_Cook_Testifies,14.0,Wednesday,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fed_Governor_Jefferson_Speaks,16.09090909090909,Wednesday,17.90909090909091,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0
Fed_Governor_Jefferson_Testifies,14.0,Wednesday,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fed_Governor_Kroszner_Speaks,15.0,Thursday,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fed_Interest_Rate_Decision,18.25,Wednesday,12.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Fed_Logan_Speaks,16.714285714285715,Wednesday,12.714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0
Fed_Statement,22.0,Sunday,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fed_Vice_Chair_Brainard_Speaks,18.0,Thursday,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fed_Vice_Chair_for_Supervision_Barr_Speaks,14.583333333333334,Wednesday,11.916666666666666,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,5.0,2.0
Fed_Waller_Speaks,15.473684210526315,Thursday,14.842105263157896,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,0.0
FOMC_Economic_Projections,18.25,Wednesday,17.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
FOMC_Meeting_Minutes,18.375,Wednesday,14.375,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
FOMC_Member_Barkin_Speaks,15.76923076923077,Wednesday,14.692307692307692,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
FOMC_Member_Bostic_Speaks,15.962962962962964,Wednesday,12.851851851851851,0.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,5.0,1.0
FOMC_Member_Bowman_Speaks,15.095238095238095,Wednesday,15.142857142857142,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,5.0,2.0
FOMC_Member_Bullard_Speaks,14.0,Thursday,14.75,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0
FOMC_Member_Daly_Speaks,14.714285714285714,Wednesday,12.857142857142858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0
FOMC_Member_George_Speaks,18.0,Wednesday,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOMC_Member_Harker_Speaks,16.142857142857142,Wednesday,13.142857142857142,1.0,4.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0
FOMC_Member_Kashkari_Speaks,17.0,Tuesday,14.333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0
FOMC_Member_Mester_Speaks,17.125,Wednesday,15.625,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0
FOMC_Member_Rosengren_Speaks,17.0,Tuesday,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOMC_Member_Williams_Speaks,16.833333333333332,Wednesday,15.875,2.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0
FOMC_Press_Conference,18.25,Wednesday,12.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FOMC_Statement,18.285714285714285,Wednesday,11.142857142857142,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Gasoline_Inventories,14.51923076923077,Wednesday,15.153846153846153,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
