event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
Jobless_Claims_4-Week_Avg,12.346153846153847,Thursday,15.826923076923077,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
JOLTs_Job_Openings,14.333333333333334,Wednesday,7.916666666666667,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
KC_Fed_Composite_Index,15.333333333333334,Thursday,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KC_Fed_Manufacturing_Index,15.333333333333334,Thursday,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Loan_Officer_Survey,18.25,Monday,12.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
M2_Money_Supply_MoM,17.416666666666668,Tuesday,25.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manufacturing_Payrolls,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Manufacturing_Production_MoM,13.333333333333334,Thursday,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MBA_30-Year_Mortgage_Rate,11.333333333333334,Wednesday,15.235294117647058,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
MBA_Mortgage_Applications_WoW,11.333333333333334,Wednesday,15.235294117647058,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
MBA_Purchase_Index,11.333333333333334,Wednesday,15.235294117647058,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
Michigan_1-Year_Inflation_Expectations,14.333333333333334,Friday,19.666666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Michigan_5-Year_Inflation_Expectations,14.333333333333334,Friday,19.666666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Michigan_Consumer_Expectations,14.333333333333334,Friday,19.666666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Michigan_Consumer_Sentiment,14.333333333333334,Friday,19.666666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Michigan_Current_Conditions,14.333333333333334,Friday,19.666666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Mortgage_Market_Index,11.333333333333334,Wednesday,15.235294117647058,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
Mortgage_Refinance_Index,11.333333333333334,Wednesday,15.235294117647058,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
NAHB_Housing_Market_Index,14.333333333333334,Tuesday,16.833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Natural_Gas_Storage,14.384615384615385,Thursday,15.98076923076923,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
New_Home_Sales,14.333333333333334,Wednesday,24.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New_Home_Sales_MoM,14.333333333333334,Wednesday,24.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NFIB_Small_Business_Optimism,10.333333333333334,Tuesday,11.416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nonfarm_Payrolls,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nonfarm_Productivity,12.375,Thursday,3.375,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
NY_Empire_State_Manufacturing_Index,12.333333333333334,Wednesday,15.583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NY_Fed_1-Year_Consumer_Inflation_Expectations,15.333333333333334,Monday,11.166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Algeria,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Congo,13.833333333333334,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Gabon,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Guinea,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_oil_Production_Iran,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
