Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,U.S. President Biden Speaks,,,,2023-01-26 19:45:00
USD,3.0,U.S. President Biden Speaks,,,,2023-03-13 13:00:00
USD,3.0,U.S. President Biden Speaks,,,,2024-03-08 02:00:00
