Event,Time_Delta,Coefficients,Intercept,R_squared,Explained_Variance_Ratio
CFTC Corn speculative net positions,60,[ 0.03326308 -0.00300087],0.04880449074507372,-5956221.078222328,[0.58923724 0.41076276]
CFTC Crude Oil speculative net positions,5,[ 0.01497793 -0.03483755],0.01852394917174843,-5927955379.997285,[0.60881763 0.39118237]
CFTC Crude Oil speculative net positions,15,[ 0.03337371 -0.06357337],-0.006825822825933658,-3353763465.341464,[0.60881763 0.39118237]
CFTC Crude Oil speculative net positions,30,[ 0.03146368 -0.03804936],0.034655230972550605,-597858561.0585392,[0.60881763 0.39118237]
CFTC Crude Oil speculative net positions,60,[ 0.10642638 -0.07462154],0.04880449074507372,-1109319103.5757842,[0.60881763 0.39118237]
CFTC Gold speculative net positions,5,[0.01328975 0.0072237 ],0.01852394917174843,-146461371.59316948,[0.66215592 0.33784408]
CFTC Gold speculative net positions,15,[-0.01843674 -0.0272552 ],-0.006825822825933657,-327262225.8739157,[0.66215592 0.33784408]
CFTC Gold speculative net positions,30,[-0.03157929 -0.00531258],0.034655230972550605,-10347245.404322328,[0.66215592 0.33784408]
CFTC Gold speculative net positions,60,[-0.07171066 -0.1047418 ],0.04880449074507372,-1154628817.0134468,[0.66215592 0.33784408]
CFTC Nasdaq 100 speculative net positions,5,[ 0.00485943 -0.00896786],0.01852394917174843,-1790200.4598325226,[0.67261827 0.32738173]
CFTC Nasdaq 100 speculative net positions,15,[ 0.04493341 -0.04333301],-0.006825822825933654,-7490980.177399479,[0.67261827 0.32738173]
CFTC Nasdaq 100 speculative net positions,30,[ 0.05941463 -0.08415683],0.034655230972550605,-13432214.19417895,[0.67261827 0.32738173]
CFTC Nasdaq 100 speculative net positions,60,[ 0.08630932 -0.12516244],0.048804490745073724,-14239653.199667694,[0.67261827 0.32738173]
CFTC Natural Gas speculative net positions,5,[0.01261668 0.00194745],0.01852394917174843,-7696233.12437544,[0.58305817 0.41694183]
CFTC Natural Gas speculative net positions,15,[-0.00590792  0.00961734],-0.006825822825933656,-20849839.5265085,[0.58305817 0.41694183]
CFTC Natural Gas speculative net positions,30,[0.00732776 0.01227354],0.034655230972550605,-16986353.323927525,[0.58305817 0.41694183]
CFTC Natural Gas speculative net positions,60,[0.01206975 0.02357545],0.04880449074507372,-30028506.432230696,[0.58305817 0.41694183]
