Event,Time_Delta,Coefficients,Intercept,R_squared
CFTC Natural Gas speculative net positions,5,[0.0124524  0.00191218],0.01852394917174843,0.017158221245264782
CFTC Natural Gas speculative net positions,15,[-0.00583099  0.00944312],-0.006825822825933656,0.0018198683320690412
CFTC Natural Gas speculative net positions,30,[0.00723234 0.01205121],0.034655230972550605,0.0014466934564233425
CFTC Natural Gas speculative net positions,60,[0.01191259 0.02314838],0.04880449074507372,0.0023357836544966037
CFTC S&P 500 speculative net positions,5,[7.2991685e-05 7.5799754e-03],0.01852394917174843,0.004174987443508527
CFTC S&P 500 speculative net positions,15,[ 0.01028106 -0.01431921],-0.006825822825933656,0.004593029922574932
CFTC S&P 500 speculative net positions,30,[ 0.02010558 -0.04043188],0.034655230972550605,0.013967319842548176
CFTC S&P 500 speculative net positions,60,[ 0.01971119 -0.05370323],0.04880449074507372,0.010312601050240122
CFTC Silver speculative net positions,5,[ 0.0223494 -0.0287891],0.01852394917174843,0.11262703630385107
CFTC Silver speculative net positions,15,[ 0.00637411 -0.00113412],-0.006825822825933656,0.0009077842242588563
CFTC Silver speculative net positions,30,[ 0.02530083 -0.00118857],0.034655230972550605,0.0070251668911487375
CFTC Silver speculative net positions,60,[0.04930156 0.07399293],0.04880449074507372,0.025621211793073195
CFTC Soybeans speculative net positions,5,[ 0.00446135 -0.00195111],0.01852394917174843,0.0025349141956154675
CFTC Soybeans speculative net positions,15,[ 0.01150632 -0.0552794 ],-0.00682582282593366,0.04110177011313676
CFTC Soybeans speculative net positions,30,[ 0.01911746 -0.06663884],0.0346552309725506,0.03137914223037663
CFTC Soybeans speculative net positions,60,[ 0.08673256 -0.06180013],0.04880449074507371,0.04605211517416041
CFTC Wheat speculative net positions,5,[-5.31924572e-05 -2.29870986e-02],0.01852394917174843,0.03606832981465813
CFTC Wheat speculative net positions,15,[-0.02496032  0.00054568],-0.006825822825933655,0.0126185162512652
CFTC Wheat speculative net positions,30,[-0.01936541  0.03370957],0.034655230972550605,0.01033842068832691
CFTC Wheat speculative net positions,60,[-0.00524755  0.03700993],0.04880449074507372,0.003927369576879225
CPI (MoM),5,[-0.05427564  0.1002849 ],-0.002683986866612811,0.10511814188296775
CPI (MoM),15,[-0.12421423  0.06704214],-0.00449612469224524,0.06902782835697119
CPI (MoM),30,[-0.18945956  0.01280387],0.2553729642316617,0.030475222748510666
CPI (MoM),60,[-0.04520236  0.06684723],0.04202149225334613,0.00443445273816534
CPI (YoY),5,[-0.05795086 -0.06354982],-0.002683986866612811,0.06680628703839286
CPI (YoY),15,[-0.08469692 -0.03108658],-0.00449612469224524,0.034881716165657606
CPI (YoY),30,[-0.12703369 -0.04805963],0.2553729642316617,0.01735049074740369
CPI (YoY),60,[-0.0894985   0.26993226],0.04202149225334613,0.03401435179895829
"CPI Index, n.s.a.",5,[ 0.0202496  -0.05396635],-0.002683986866612811,0.026952745444212223
"CPI Index, n.s.a.",15,[0.04237329 0.05940464],-0.004496124692245234,0.015001046908344251
"CPI Index, n.s.a.",30,[0.1028023  0.17279031],0.2553729642316617,0.02432721505379032
"CPI Index, n.s.a.",60,[-0.13376534  0.22895907],0.04202149225334614,0.048220271119705616
"CPI Index, s.a",5,[-0.03937008  0.00043483],-0.0026839868666128103,0.01846397827826063
"CPI Index, s.a",15,[-0.17987076 -0.02610385],-0.004496124692245245,0.12338543578096739
"CPI Index, s.a",30,[-0.34629192 -0.01552335],0.2553729642316617,0.09975160303213249
"CPI Index, s.a",60,[-0.24927942 -0.04696063],0.04202149225334612,0.06026348017374861
"CPI, n.s.a (MoM)",5,[ 0.06036606 -0.21415459],-0.0026839868666128225,0.24815802126539532
"CPI, n.s.a (MoM)",15,[0.08823526 0.258443  ],-0.004496124692245218,0.12587286383176188
"CPI, n.s.a (MoM)",30,[0.13822914 0.81348933],0.2553729642316618,0.21520372490095385
"CPI, n.s.a (MoM)",60,[-0.10345854  0.78839135],0.042021492253346185,0.22248623015286395
Capacity Utilization Rate,5,[-0.02045745 -0.01633407],-0.022049978380740992,0.03602500987200219
Capacity Utilization Rate,15,[-0.05003349 -0.00791355],-0.03293172190153074,0.062265465589599
Capacity Utilization Rate,30,[-0.03077504  0.1976697 ],0.01140507306826097,0.08489275532231755
Capacity Utilization Rate,60,[0.05336778 0.08469894],0.07871620400560689,0.09426951273311601
Consumer Credit,5,[0.0267526  0.05497053],0.02070969943479788,0.11826698888995968
Consumer Credit,15,[0.06814354 0.00510536],0.002271524421088715,0.20858801777617608
Consumer Credit,30,[0.09235733 0.02982139],0.13068856668813594,0.12657135332354397
Consumer Credit,60,[0.23794896 0.03205185],0.14558322513875804,0.46500901134055705
Continuing Jobless Claims,5,[0.00050922 0.03300881],0.03436783364168793,0.034214370619583656
Continuing Jobless Claims,15,[-0.00435668  0.05404245],0.009403060343567164,0.030555002014441723
Continuing Jobless Claims,30,[0.01107894 0.04117504],0.0722498312404927,0.011640475351694213
Continuing Jobless Claims,60,[0.02797853 0.11728224],0.12657562814900863,0.03593658731498628
Core CPI (MoM),5,[0.02749735 0.03204441],-0.0026839868666128103,0.015257621065410953
Core CPI (MoM),15,[-0.16608947  0.15113314],-0.004496124692245236,0.1612542379483869
