Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
CFTC Wheat speculative net positions,15,[-0.01803547 -0.01726376],-0.006825822825933654,0.0126185162512652
CFTC Wheat speculative net positions,30,[-0.03752968  0.01014285],0.034655230972550605,0.01033842068832691
CFTC Wheat speculative net positions,60,[-0.02988055  0.0224594 ],0.04880449074507372,0.003927369576879225
CPI (MoM),5,[ 0.10929081 -0.03253346],-0.002683986866612805,0.10511814188296775
CPI (MoM),15,[0.13523867 0.04042677],-0.0044961246922452375,0.06902782835697119
CPI (MoM),30,[0.14302185 0.12491444],0.2553729642316617,0.030475222748510666
CPI (MoM),60,[ 0.07923102 -0.01530524],0.04202149225334613,0.00443445273816534
CPI (YoY),5,[-0.00395906  0.08591395],-0.0026839868666128086,0.06680628703839275
CPI (YoY),15,[0.03790823 0.0818713 ],-0.004496124692245238,0.034881716165657606
CPI (YoY),30,[0.05584309 0.12380967],0.2553729642316617,0.01735049074740369
CPI (YoY),60,[ 0.25415593 -0.12758594],0.04202149225334612,0.03401435179895829
"CPI Index, n.s.a.",5,[-0.02384134  0.0524786 ],-0.0026839868666128086,0.026952745444212334
"CPI Index, n.s.a.",15,[ 0.07196787 -0.01204298],-0.0044961246922452375,0.015001046908344251
"CPI Index, n.s.a.",30,[ 0.1948734 -0.049489 ],0.2553729642316617,0.02432721505379032
"CPI Index, n.s.a.",60,[ 0.06731213 -0.25648489],0.04202149225334613,0.048220271119705616
"CPI Index, s.a",5,[0.02753138 0.02814633],-0.002683986866612809,0.018463978278260518
"CPI Index, s.a",15,[0.14564605 0.10872963],-0.004496124692245239,0.12338543578096739
"CPI Index, s.a",30,[0.25584203 0.2338887 ],0.2553729642316617,0.0997516030321326
"CPI Index, s.a",60,[0.20947335 0.14306098],0.04202149225334613,0.06026348017374861
"CPI, n.s.a (MoM)",5,[ 0.19411541 -0.10874491],-0.0026839868666128077,0.24815802126539532
"CPI, n.s.a (MoM)",15,[-0.12035504  0.24513855],-0.004496124692245243,0.12587286383176188
"CPI, n.s.a (MoM)",30,[-0.47748106  0.67296658],0.2553729642316617,0.21520372490095385
"CPI, n.s.a (MoM)",60,[-0.63063311  0.48432063],0.04202149225334612,0.22248623015286395
Capacity Utilization Rate,5,[0.02601553 0.00291567],-0.022049978380740992,0.03602500987200219
Capacity Utilization Rate,15,[0.04097474 0.0297833 ],-0.03293172190153074,0.062265465589599
Capacity Utilization Rate,30,[-0.11801235  0.16153482],0.011405073068260975,0.08489275532231744
Capacity Utilization Rate,60,[-0.09762792  0.02215448],0.07871620400560689,0.09426951273311601
Consumer Credit,5,[-0.05778698  0.01995309],0.020709699434797873,0.11826698888995946
Consumer Credit,15,[-0.05179479 -0.04457473],0.00227152442108871,0.20858801777617597
Consumer Credit,30,[-0.0863934  -0.04421959],0.13068856668813594,0.12657135332354397
Consumer Credit,60,[-0.19091941 -0.14559124],0.14558322513875802,0.46500901134055694
Continuing Jobless Claims,5,[0.02298068 0.02370083],0.03436783364168793,0.034214370619583656
Continuing Jobless Claims,15,[0.04129442 0.03513315],0.009403060343567164,0.030555002014441723
Continuing Jobless Claims,30,[0.02128116 0.03694915],0.0722498312404927,0.01164047535169388
Continuing Jobless Claims,60,[0.06314726 0.10271487],0.12657562814900863,0.03593658731498628
Core CPI (MoM),5,[ 0.00321526 -0.04210238],-0.002683986866612806,0.015257621065410953
Core CPI (MoM),15,[0.22431025 0.01057572],-0.004496124692245238,0.1612542379483869
Core CPI (MoM),30,[0.46334195 0.11513126],0.2553729642316617,0.198417102121192
Core CPI (MoM),60,[0.30308802 0.02273305],0.04202149225334613,0.07705292205533298
Core CPI (YoY),5,[-0.06878212  0.11708767],-0.002683986866612809,0.10329953868089314
Core CPI (YoY),15,[-0.0674573  0.0948343],-0.0044961246922452375,0.022622142764765152
Core CPI (YoY),30,[-0.10219733  0.14148359],0.2553729642316617,0.011179579603862178
Core CPI (YoY),60,[-0.01793799 -0.05961094],0.04202149225334613,0.00370522691998465
Core CPI Index,5,[-0.00321949  0.07049672],-0.002683986866612797,0.04683799598843841
Core CPI Index,15,[0.1459088  0.30551171],-0.004496124692245186,0.38002953653403504
Core CPI Index,30,[0.36213601 0.50278069],0.25537296423166184,0.28648151672913624
Core CPI Index,60,[0.20598471 0.37092349],0.04202149225334619,0.15175283052543775
Core Durable Goods Orders (MoM),5,[ 0.05622286 -0.03571888],0.12217053502266031,0.07321852504778903
Core Durable Goods Orders (MoM),15,[-0.01132965  0.03705494],0.14483408992253188,0.016750602614828525
Core Durable Goods Orders (MoM),30,[0.00100133 0.020792  ],0.21096812126708786,0.004235491159307658
Core Durable Goods Orders (MoM),60,[-0.0137659   0.09231345],0.062452367239126796,0.03599955109580599
Core PCE Price Index (MoM),5,[ 0.05978788 -0.06286509],0.027932342608768732,0.2968527209821825
Core PCE Price Index (MoM),15,[ 0.09117268 -0.11007709],0.03924728798092976,0.4719169293946277
Core PCE Price Index (MoM),30,[ 0.17688081 -0.10480683],-0.020752492006548558,0.26189198824668314
Core PCE Price Index (MoM),60,[ 0.18671098 -0.14429192],0.02910416152398716,0.15239079312522696
Core PCE Price Index (YoY),5,[ 0.01574262 -0.04833442],0.027932342608768732,0.12815005807352875
Core PCE Price Index (YoY),15,[ 0.02460675 -0.05937843],0.03924728798092977,0.1081001537612285
Core PCE Price Index (YoY),30,[ 0.04518714 -0.07594254],-0.02075249200654855,0.04355576456143062
Core PCE Price Index (YoY),60,[ 0.10652307 -0.19839853],0.029104161523987163,0.13952136565322004
Core PCE Prices,5,[-0.0516223   0.02438446],0.06121939622794392,0.05017391492585721
Core PCE Prices,15,[-0.0884525  -0.02897671],-0.059288750614556664,0.2901088776214942
Core PCE Prices,30,[-0.05002021 -0.10855179],0.03688919899377394,0.1769143495043064
Core PCE Prices,60,[-0.10378036 -0.10291509],-0.031925205964308145,0.13560902870310276
Core PPI (MoM),5,[-0.06569166  0.05048949],-0.04166220666444315,0.09687969474364977
Core PPI (MoM),15,[-0.23839607  0.38055278],-0.1433046007406749,0.34312371377827955
