Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
Import Price Index (YoY),60,[-0.25565939  0.18936881],0.1159678877897073,0.1111409869246125
Industrial Production (MoM),5,[-0.01377388  0.03611487],-0.022049978380740996,0.04100132964292169
Industrial Production (MoM),15,[ 0.1128075  -0.15398272],-0.03293172190153073,0.23247029176416245
Industrial Production (MoM),30,[ 0.05145872 -0.08666609],0.011405073068260977,0.024676103852507958
Industrial Production (MoM),60,[ 0.13652725 -0.12157461],0.0787162040056069,0.16971938321192814
Industrial Production (YoY),5,[-0.02005736  0.04952001],-0.022049978380740992,0.13071358397910493
Industrial Production (YoY),15,[-0.05337295 -0.05975408],-0.03293172190153074,0.09898577663889507
Industrial Production (YoY),30,[0.05270289 0.03109264],0.011405073068260968,0.01977726487010001
Industrial Production (YoY),60,[0.07746663 0.01447875],0.07871620400560689,0.08029107477997999
Initial Jobless Claims,5,[ 0.01219948 -0.03313645],0.03436783364168793,0.021740727549813044
Initial Jobless Claims,15,[-0.01685472 -0.02515855],0.009403060343567162,0.016846606212587822
Initial Jobless Claims,30,[-0.0101358  -0.02383776],0.0722498312404927,0.006868554089787149
Initial Jobless Claims,60,[-0.02720919 -0.00500621],0.12657562814900863,0.0025013300420061446
Interest Rate Projection - 1st Yr,5,[-0.16943015  0.02163691],0.12086773399993016,0.4667737304598383
Interest Rate Projection - 1st Yr,15,[0.07916291 0.03619318],-0.2147220814132386,0.06478804903476432
Interest Rate Projection - 1st Yr,30,[0.00046447 0.17876498],-0.19755978390005102,0.2991912662853363
Interest Rate Projection - 1st Yr,60,[ 0.3464677  -0.33614962],-0.015844050845374054,0.06715492016843871
Interest Rate Projection - 2nd Yr,5,[-0.18288829  0.07570207],0.12086773399993028,0.44018178675585407
Interest Rate Projection - 2nd Yr,15,[0.08031653 0.17760302],-0.21472208141323834,0.3216649904701364
Interest Rate Projection - 2nd Yr,30,[0.00903281 0.25621326],-0.19755978390005047,0.6379722493914686
Interest Rate Projection - 2nd Yr,60,[0.38665809 0.07297424],-0.01584405084537453,0.1284621308995465
Interest Rate Projection - 3rd Yr,5,[0.04633608 0.        ],0.19266772520643713,0.888888888888889
Interest Rate Projection - 3rd Yr,15,[0.0143093 0.       ],0.18113413253428817,0.8888888888888888
Interest Rate Projection - 3rd Yr,30,[0.05232924 0.        ],0.2352140181374339,0.8888888888888888
Interest Rate Projection - 3rd Yr,60,[0.31236401 0.        ],0.6260036884666491,0.8888888888888888
Interest Rate Projection - Current,5,[-0.08259104 -0.1174891 ],0.12086773399993019,0.5309692026521418
Interest Rate Projection - Current,15,[-0.42575763  0.20294185],-0.21472208141323856,0.9133211920303913
Interest Rate Projection - Current,30,[-0.27549945  0.25625596],-0.19755978390005074,0.7975020405652952
Interest Rate Projection - Current,60,[-1.22128429  0.34220614],-0.015844050845374647,0.877782367621793
Interest Rate Projection - Longer,5,[0.06240644 0.06240644],0.12086773399993019,0.25017803256447757
Interest Rate Projection - Longer,15,[0.07215917 0.07215917],-0.21472208141323854,0.1060403345358828
Interest Rate Projection - Longer,30,[-0.02577508 -0.02577508],-0.19755978390005074,0.02126104795094086
Interest Rate Projection - Longer,60,[0.35271304 0.35271304],-0.01584405084537459,0.2933353121694179
JOLTs Job Openings,5,[ 0.01504614 -0.06915245],-0.05601980127449007,0.06533469777265988
JOLTs Job Openings,15,[-7.05157180e-05 -2.98487183e-02],0.06489172667117903,0.010362070139948054
JOLTs Job Openings,30,[ 0.23265627 -0.65419338],0.35437353067335287,0.2691379205871304
JOLTs Job Openings,60,[ 0.45737792 -1.0308548 ],0.4275023622544098,0.32790340759105874
Jobless Claims 4-Week Avg.,5,[-0.01318668  0.04582925],0.034367833641687925,0.08243170092935104
Jobless Claims 4-Week Avg.,15,[-0.03131738  0.05482852],0.009403060343567159,0.050362471178462265
Jobless Claims 4-Week Avg.,30,[-0.04069614  0.0877378 ],0.07224983124049268,0.07120566303799059
Jobless Claims 4-Week Avg.,60,[-0.04938206  0.13589235],0.12657562814900863,0.06037005338998236
M2 Money Supply (MoM),5,[-0.02039461 -0.02764815],-0.000216635865805591,0.05220653052275315
M2 Money Supply (MoM),15,[0.00162701 0.04262017],-0.026629696208936852,0.03619809246224093
M2 Money Supply (MoM),30,[-0.00524085  0.01951234],-0.011292407615798642,0.009196417101309251
M2 Money Supply (MoM),60,[-0.16565299  0.22348382],0.08527812060048214,0.21184603177737016
MBA 30-Year Mortgage Rate,5,[ 0.01538243 -0.00146066],-0.016807706569674924,0.004383350851406176
MBA 30-Year Mortgage Rate,15,[ 0.04829698 -0.00365917],-0.015840599267633773,0.014581123199181367
MBA 30-Year Mortgage Rate,30,[ 0.06923721 -0.00898592],0.02926143620158833,0.01705494270739516
MBA 30-Year Mortgage Rate,60,[-0.011252   -0.00887124],0.008894828867386573,0.0006110657877511638
MBA Mortgage Applications (WoW),5,[-0.08542317  0.0295208 ],-0.01680770656967492,0.09174708628977368
MBA Mortgage Applications (WoW),15,[-0.0936585   0.02816316],-0.01584059926763377,0.038806071140404796
MBA Mortgage Applications (WoW),30,[-0.09047984 -0.02831908],0.029261436201588338,0.04419890659690062
MBA Mortgage Applications (WoW),60,[-0.02615015 -0.09120284],0.008894828867386581,0.03277138272143776
Manufacturing Payrolls,5,[0.06934202 0.00885103],-0.11106643366189306,0.14020259948344116
Manufacturing Payrolls,15,[-0.00912566 -0.11173239],0.006780194980258137,0.2844853047703131
Manufacturing Payrolls,30,[-0.16427326 -0.0259165 ],-0.0704475297186922,0.21680199936184652
Manufacturing Payrolls,60,[ 0.02353634 -0.12370635],-0.07975085172480989,0.05705018560554065
Manufacturing Production (MoM),5,[-0.04029039  0.07513841],-0.022049978380741,0.18913472873858428
Manufacturing Production (MoM),15,[-0.048354    0.00247698],-0.03293172190153074,0.03379414324338337
Manufacturing Production (MoM),30,[ 0.20000433 -0.16484907],0.011405073068260989,0.17035271636500526
Manufacturing Production (MoM),60,[ 0.11531393 -0.0884835 ],0.0787162040056069,0.13419785059789646
Michigan 1-Year Inflation Expectations,5,[-0.01832826  0.11137431],0.020049315886807955,0.2764730202079313
Michigan 1-Year Inflation Expectations,15,[-0.08456738  0.15589483],0.06107685821536794,0.18068980813265823
Michigan 1-Year Inflation Expectations,30,[-0.15058004  0.17087343],0.05959100560737903,0.1904503197463684
Michigan 1-Year Inflation Expectations,60,[-0.23199196  0.07659761],-0.08817094051668312,0.12116418791511396
Michigan 5-Year Inflation Expectations,5,[-0.02818746  0.11561027],0.02004931588680795,0.2993632898935613
Michigan 5-Year Inflation Expectations,15,[0.03661792 0.15282373],0.061076858215367937,0.17548203166513465
Michigan 5-Year Inflation Expectations,30,[-0.00812073  0.17131213],0.059591005607379025,0.1260047315400451
Michigan 5-Year Inflation Expectations,60,[-0.05687301  0.08950854],-0.08817094051668312,0.021477869469864186
Michigan Consumer Expectations,5,[0.02683319 0.0002514 ],0.020049315886807955,0.016660241341751703
Michigan Consumer Expectations,15,[ 0.11517568 -0.16530752],0.06107685821536794,0.10204465254821327
Michigan Consumer Expectations,30,[0.07547515 0.00298732],0.05959100560737903,0.026120471504180176
Michigan Consumer Expectations,60,[0.16785076 0.06639338],-0.08817094051668312,0.1059809853392154
Michigan Consumer Sentiment,5,[0.04284234 0.00264856],0.020049315886807955,0.045311190385908806
Michigan Consumer Sentiment,15,[ 0.14236967 -0.14950854],0.06107685821536795,0.1080131265360954
Michigan Consumer Sentiment,30,[0.10284686 0.0339134 ],0.05959100560737903,0.06977523948251696
Michigan Consumer Sentiment,60,[0.2063897 0.0901143],-0.08817094051668312,0.16507285856544496
Michigan Current Conditions,5,[0.05482926 0.00075253],0.020049315886807955,0.06977467111428381
Michigan Current Conditions,15,[ 0.12486233 -0.06809813],0.06107685821536794,0.07069932554670588
Michigan Current Conditions,30,[0.15754649 0.06127109],0.05959100560737903,0.17146877918644288
Michigan Current Conditions,60,[0.18011829 0.15974452],-0.08817094051668312,0.20216636968285817
NAHB Housing Market Index,5,[-0.11160597  0.10502088],-0.01207596580487953,0.05204043503529343
NAHB Housing Market Index,15,[-0.07765922  0.0745016 ],0.020491514694869126,0.016584133119237343
NAHB Housing Market Index,30,[-0.01602088 -0.06370562],-0.10823138465674036,0.04400554954376201
NAHB Housing Market Index,60,[ 0.12770616 -0.25374533],-0.49471567134099903,0.0367695728177998
New Home Sales,5,[-0.06484389  0.14864317],0.05299314649197953,0.10828766051226035
New Home Sales,15,[ 0.14090923 -0.14883484],0.16471406142482972,0.04587239622220973
New Home Sales,30,[ 0.18851717 -0.1965011 ],0.22657614773027307,0.04088103814132937
New Home Sales,60,[ 0.38671056 -0.48637481],0.4353496215749078,0.06124640620180399
New Home Sales (MoM),5,[ 0.12824409 -0.04655897],0.05299314649197953,0.11078926462763605
New Home Sales (MoM),15,[ 0.12474263 -0.24302848],0.16471406142482972,0.21541141412737674
New Home Sales (MoM),30,[ 0.09556045 -0.26161274],0.22657614773027307,0.1422690989987525
New Home Sales (MoM),60,[ 0.0857016  -0.41081922],0.4353496215749078,0.10727931941031765
Nonfarm Payrolls,5,[ 0.09341704 -0.06655424],-0.11106643366189306,0.13642400329292892
Nonfarm Payrolls,15,[-0.147115    0.10153016],0.0067801949802581305,0.28113107759033873
Nonfarm Payrolls,30,[-0.0080518  -0.12091165],-0.0704475297186922,0.10066979369379225
Nonfarm Payrolls,60,[ 0.11744738 -0.09881164],-0.07975085172480989,0.04785210143887442
Nonfarm Productivity,5,[-0.02838825 -0.02708631],0.0028202457081075833,0.13060356605482626
Nonfarm Productivity,15,[ 0.01761304 -0.05233295],-0.04446017042536931,0.09134001015485615
Nonfarm Productivity,30,[-0.02582696 -0.00813409],-0.05011916409256013,0.03176244127921235
Nonfarm Productivity,60,[-0.11524992 -0.00104322],0.018388631978550434,0.06861999991416157
PCE Price index (YoY),5,[-0.02720645 -0.01341169],0.027932342608768736,0.04893016414331974
PCE Price index (YoY),15,[-0.00794174 -0.01313801],0.03924728798092977,0.006961466841333919
PCE Price index (YoY),30,[ 0.01247021 -0.03964836],-0.020752492006548547,0.020788840892880134
PCE Price index (YoY),60,[-0.03929474  0.0003626 ],0.02910416152398717,0.007481305555404605
PCE Prices,5,[-0.0462298   0.03559302],0.06121939622794392,0.08174384718961436
PCE Prices,15,[-0.07370409  0.01457545],-0.05928875061455666,0.13318571781052047
PCE Prices,30,[-0.12223319 -0.00538879],0.03688919899377395,0.13035545447043473
PCE Prices,60,[-0.28085863  0.0246731 ],-0.031925205964308125,0.31170877243021533
PCE price index (MoM),5,[-0.01400237  0.00510989],0.027932342608768736,0.009533230651707303
PCE price index (MoM),15,[-0.05966636  0.09025055],0.03924728798092977,0.2084874876494941
PCE price index (MoM),30,[ 0.12802034 -0.00462175],-0.020752492006548547,0.1596246102534965
PCE price index (MoM),60,[ 0.11733286 -0.12853885],0.02910416152398717,0.0563638500343967
PPI (MoM),5,[ 0.03786243 -0.04407237],-0.041662206664443154,0.029858604870840133
PPI (MoM),15,[-0.17522608  0.33574848],-0.14330460074067486,0.2026584291760678
PPI (MoM),30,[-0.16716182  0.22639033],0.061888005799684565,0.19500355051146
PPI (MoM),60,[-0.07045643  0.16473529],0.024119480417304513,0.10333221962998396
PPI (YoY),5,[0.06817809 0.00228572],-0.041662206664443154,0.15267264567972338
PPI (YoY),15,[0.07305547 0.16338424],-0.1433046007406749,0.15956063378426844
PPI (YoY),30,[ 0.10714597 -0.03273833],0.06188800579968452,0.06985155765878626
PPI (YoY),60,[ 0.1622547  -0.13324949],0.024119480417304464,0.13479509100349862
PPI ex. Food/Energy/Transport (MoM),5,[-0.01420626  0.05123913],-0.04166220666444315,0.06559524340390033
PPI ex. Food/Energy/Transport (MoM),15,[ 0.23927848 -0.19365412],-0.1433046007406749,0.1645041374079148
PPI ex. Food/Energy/Transport (MoM),30,[ 0.00573801 -0.08202801],0.061888005799684544,0.0508793465896733
PPI ex. Food/Energy/Transport (MoM),60,[-0.15299319  0.01302107],0.0241194804173045,0.14638308525862542
PPI ex. Food/Energy/Transport (YoY),5,[0.05771223 0.02657881],-0.04166220666444314,0.1508203295391668
PPI ex. Food/Energy/Transport (YoY),15,[ 0.03439487 -0.20237324],-0.14330460074067494,0.13632118963073037
PPI ex. Food/Energy/Transport (YoY),30,[ 0.06343627 -0.10723944],0.0618880057996845,0.09953263733015794
PPI ex. Food/Energy/Transport (YoY),60,[0.08802414 0.00344623],0.024119480417304492,0.05378060667155948
Participation Rate,5,[-0.01622662 -0.01948725],-0.11106643366189306,0.01778749782950828
Participation Rate,15,[0.01125974 0.06508554],0.006780194980258137,0.0923535785692573
Participation Rate,30,[ 0.01041069 -0.12858649],-0.0704475297186922,0.10308527192094252
Participation Rate,60,[ 0.09254163 -0.0611273 ],-0.07975085172480989,0.05291432075023739
Payrolls Benchmark,5,[0.02654875 0.02654875],0.04817516970275587,0.9600000000000001
Payrolls Benchmark,15,[0.09165508 0.09165508],-0.059676702949926025,0.96
Payrolls Benchmark,30,[0.09558023 0.09558023],-0.2882873229232943,0.96
Payrolls Benchmark,60,[0.07102741 0.07102741],-0.01582980781229673,0.9600000000000001
"Payrolls Benchmark, n.s.a.",5,[-0.02576128  0.05029195],0.07791190242886194,0.7133296318218851
"Payrolls Benchmark, n.s.a.",15,[0.07297986 0.10515788],-0.11059373387170822,0.9691282534528636
"Payrolls Benchmark, n.s.a.",30,[-0.13636713  0.19950559],-0.13985426561321765,0.6826568941303875
"Payrolls Benchmark, n.s.a.",60,[-0.05390133  0.12819803],0.049480737059160104,0.7361006188882913
Pending Home Sales (MoM),5,[-0.000818    0.00647557],0.06904701721667811,0.0012501777121389779
Pending Home Sales (MoM),15,[-0.04114671  0.05125711],0.08065616940960615,0.015458985104981338
Pending Home Sales (MoM),30,[-0.15438385  0.15638935],0.001151920747974311,0.13297732709571652
Pending Home Sales (MoM),60,[-0.20301427  0.2171309 ],-0.1353158557769753,0.08440844144368265
Pending Home Sales Index,5,[0.06639696 0.00414059],0.0690470172166781,0.17021143246717896
Pending Home Sales Index,15,[0.04305003 0.04406765],0.08065616940960608,0.08674064787677971
Pending Home Sales Index,30,[-0.06863731  0.02102024],0.0011519207479742713,0.05468810397876789
Pending Home Sales Index,60,[-0.11070701 -0.125237  ],-0.1353158557769751,0.18449035244486645
Personal Income (MoM),5,[-0.011352    0.07115829],0.027932342608768736,0.324275660336368
Personal Income (MoM),15,[0.00498192 0.07836294],0.03924728798092977,0.2662077032979223
Personal Income (MoM),30,[0.05829968 0.1163609 ],-0.02075249200654854,0.2266538875466373
Personal Income (MoM),60,[-0.05018311  0.29318677],0.029104161523987173,0.3704923134900219
Personal Spending (MoM),5,[ 0.05435655 -0.08941101],0.02793234260876873,0.2647787985076224
Personal Spending (MoM),15,[ 0.01305072 -0.07024088],0.03924728798092976,0.153868298402003
Personal Spending (MoM),30,[ 0.03574437 -0.04003638],-0.02075249200654855,0.0076595335105182905
Personal Spending (MoM),60,[-0.19553367  0.0642086 ],0.02910416152398718,0.11408314088965288
Private Nonfarm Payrolls,5,[ 0.05616658 -0.03907541],-0.11106643366189306,0.046339044055124234
Private Nonfarm Payrolls,15,[-0.13542383  0.07507554],0.006780194980258138,0.22569234389566528
Private Nonfarm Payrolls,30,[-0.0345331  -0.08594111],-0.0704475297186922,0.07812826322838096
Private Nonfarm Payrolls,60,[ 0.04120872 -0.04316684],-0.07975085172480989,0.006630583597829309
Real Consumer Spending,5,[0.00306103 0.01621626],0.06121939622794392,0.008824626959749726
Real Consumer Spending,15,[0.00764909 0.04321771],-0.05928875061455666,0.055467532515335205
Real Consumer Spending,30,[0.02587124 0.07516691],0.03688919899377394,0.06939462315273148
Real Consumer Spending,60,[-0.0554323   0.23355159],-0.031925205964308145,0.18485116711176652
Real Earnings (MoM),5,[-0.0736775   0.01322051],-0.0026839868666128056,0.039101716932790964
Real Earnings (MoM),15,[-0.39488281  0.4417642 ],-0.00449612469224519,0.25078665907542463
Real Earnings (MoM),30,[-0.72487059  0.85980313],0.25537296423166184,0.20453188215712836
Real Earnings (MoM),60,[-0.92609152  0.79472829],0.04202149225334622,0.2728491365749356
Real Personal Consumption (MoM),5,[ 0.04336223 -0.07062224],0.027932342608768736,0.20909332298183403
Real Personal Consumption (MoM),15,[-0.00826819 -0.03149185],0.03924728798092977,0.057343104599050565
Real Personal Consumption (MoM),30,[ 0.00964742 -0.0302023 ],-0.020752492006548547,0.006427548402830552
Real Personal Consumption (MoM),60,[-0.14212656 -0.06976493],0.029104161523987173,0.18200436970077138
Retail Control (MoM),5,[0.00476814 0.01846362],0.013557923209082737,0.02032346497807802
Retail Control (MoM),15,[ 0.53746551 -0.23218229],-0.05207041636622469,0.5170801077950442
Retail Control (MoM),30,[ 0.17890735 -0.10048389],0.047102377865969304,0.10839546549680867
Retail Control (MoM),60,[ 0.01553642 -0.08926929],0.22383132460377447,0.022509630260245328
Retail Inventories Ex Auto,5,[0.03143551 0.04268526],0.05349824237239348,0.06004956364156466
Retail Inventories Ex Auto,15,[0.02729911 0.0356338 ],0.0023360276441213453,0.03281642589572964
Retail Inventories Ex Auto,30,[0.07842764 0.0961263 ],-0.013796494887037308,0.10925254978562449
Retail Inventories Ex Auto,60,[0.18575321 0.07059371],-0.1752873514772004,0.08020589768506836
Retail Sales (MoM),5,[ 0.0246173  -0.00480126],0.013557923209082733,0.021317425033447912
Retail Sales (MoM),15,[ 0.55005243 -0.27122688],-0.05207041636622466,0.5760481165789695
Retail Sales (MoM),30,[ 0.17700908 -0.13425621],0.04710237786596932,0.12476265050850033
Retail Sales (MoM),60,[0.01211799 0.02836922],0.22383132460377447,0.004643647215388791
Retail Sales (YoY),5,[ 0.06951144 -0.02793767],0.013557923209082735,0.177985122591112
Retail Sales (YoY),15,[ 0.32131582 -0.1912454 ],-0.05207041636622464,0.2577352470061566
Retail Sales (YoY),30,[0.1572483  0.00460097],0.04710237786596932,0.1390810070774956
Retail Sales (YoY),60,[0.01892673 0.06737765],0.22383132460377447,0.020352157535327153
Retail Sales Ex Gas/Autos (MoM),5,[ 0.05823143 -0.03876654],0.013557923209082726,0.07894723186896624
Retail Sales Ex Gas/Autos (MoM),15,[ 0.64087751 -0.31455673],-0.05207041636622472,0.6536462877590399
Retail Sales Ex Gas/Autos (MoM),30,[ 0.20779643 -0.12063814],0.0471023778659693,0.130891275792271
Retail Sales Ex Gas/Autos (MoM),60,[ 0.15083582 -0.18638658],0.22383132460377445,0.06750480078445409
S&P Global Composite PMI,5,[-0.01348372 -0.00971598],-0.03535614679995984,0.009785207353744552
S&P Global Composite PMI,15,[-0.0348456  0.0035948],0.05248816297065906,0.013669402727412905
S&P Global Composite PMI,30,[-0.09220355  0.09316778],0.03935938385235052,0.06109559792333852
S&P Global Composite PMI,60,[-0.09727014  0.07013168],0.030311126739221827,0.024076758176336144
S&P Global Services PMI,5,[-0.00225515 -0.02476588],-0.03535614679995984,0.023433840535493133
S&P Global Services PMI,15,[-0.03736039  0.00508122],0.05248816297065906,0.013476628816280756
S&P Global Services PMI,30,[-0.10176986  0.04937119],0.03935938385235052,0.02564699181338681
S&P Global Services PMI,60,[-0.06196217  0.01409091],0.030311126739221827,0.005236307583094568
S&P Global US Manufacturing PMI,5,[ 0.12258987 -0.08533405],-0.060270280645013184,0.21202260466201117
S&P Global US Manufacturing PMI,15,[ 0.06213017 -0.06080396],-0.007690518782648628,0.033134429217983596
S&P Global US Manufacturing PMI,30,[ 0.05967439 -0.06358317],-0.020025266507199786,0.015131817248290824
S&P Global US Manufacturing PMI,60,[-0.02861181  0.01907418],-0.05693724747196836,0.001783366843537304
US Leading Index (MoM),5,[ 0.00721749 -0.03182304],0.0271018706922337,0.02320953548976812
US Leading Index (MoM),15,[-0.04667966  0.08056271],0.21896791580189873,0.037500458051968555
US Leading Index (MoM),30,[-0.34802989  0.27621145],0.15462830127924673,0.23491976064549036
US Leading Index (MoM),60,[-0.44348115  0.35197234],0.10903552816246656,0.19087369891466877
Unemployment Rate,5,[ 0.00645611 -0.05250723],-0.11106643366189306,0.05408788764667927
Unemployment Rate,15,[ 0.02893262 -0.02470641],0.006780194980258135,0.0056947006617890095
Unemployment Rate,30,[ 0.16865513 -0.21398653],-0.0704475297186922,0.09793122823376266
Unemployment Rate,60,[-0.04660838  0.02291237],-0.07975085172480989,0.004782970797952646
Unit Labor Costs,5,[-0.03671579 -0.04107765],0.0028202457081075876,0.2319431194272472
Unit Labor Costs,15,[-0.09696677 -0.01191889],-0.04446017042536931,0.3464578098271338
Unit Labor Costs,30,[-0.03965694 -0.11514623],-0.05011916409256012,0.6057380180464342
Unit Labor Costs,60,[-0.12862842 -0.18290267],0.018388631978550448,0.2872459033449797
Wholesale Inventories (MoM),5,[-0.02605039 -0.03314332],0.04144695098854637,0.06809430316067888
Wholesale Inventories (MoM),15,[-0.05096321  0.02138338],0.010243782661584877,0.01884126254772378
Wholesale Inventories (MoM),30,[ 0.13312453 -0.09928231],0.17587668786787913,0.05989472813053698
Wholesale Inventories (MoM),60,[ 0.24766534 -0.30833349],0.20032612724386198,0.176091411378547
Wholesale Trade Sales (MoM),5,[-0.05718762 -0.04042392],0.005881617481918726,0.19536926705461732
Wholesale Trade Sales (MoM),15,[-0.10109077 -0.00275391],0.04547597398343849,0.11374602598635697
Wholesale Trade Sales (MoM),30,[-0.0480715   0.04338394],0.3031677194824357,0.014801501144712681
Wholesale Trade Sales (MoM),60,[-0.00707537 -0.03277746],0.4109691671843278,0.005354109575851251
